n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max
1.490e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
1.500e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
1.510e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
1.520e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
1.530e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
1.540e+04	2.632e+00	2.181e+00	3.099e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
1.550e+04	2.632e+00	2.181e+00	3.099e+00	1.912e+00	1.545e+00	2.153e+00	1.185e+00	9.318e-01	1.313e+00
1.560e+04	2.632e+00	2.181e+00	3.099e+00	1.912e+00	1.545e+00	2.153e+00	1.185e+00	9.318e-01	1.313e+00
1.570e+04	2.632e+00	2.181e+00	3.099e+00	1.912e+00	1.545e+00	2.153e+00	1.185e+00	9.318e-01	1.313e+00
1.580e+04	2.632e+00	2.181e+00	3.099e+00	1.912e+00	1.545e+00	2.153e+00	1.185e+00	9.318e-01	1.313e+00
1.590e+04	2.632e+00	2.181e+00	3.099e+00	1.916e+00	1.545e+00	2.192e+00	1.185e+00	9.318e-01	1.313e+00
